year,day,level
1950,01/03,0
1950,02/03,0.1
1950,03/03,0.1
1950,04/03,0.1
1950,05/03,0
1950,06/03,0.1
1950,07/03,0.1
1950,08/03,0.1
1950,09/03,0.1
1950,10/03,0.1
1950,11/03,0.1
1950,12/03,0.1
1950,13/03,0.1
1950,14/03,0
1950,15/03,0
1950,16/03,0
1950,17/03,0
1950,18/03,0.1
1950,19/03,0.1
1950,20/03,0.1
1950,21/03,0.2
1950,22/03,0.3
1950,23/03,0.2
1950,24/03,0.4
1950,25/03,0.3
1950,26/03,0.5
1950,27/03,0.5
1950,28/03,0.3
1950,29/03,0.3
1950,30/03,0.3
1950,31/03,0.3
1950,01/04,0.4
1950,02/04,0.6
1950,03/04,0.7
1950,04/04,1.3
1950,05/04,1.7
1950,06/04,2.4
1950,07/04,4
1950,08/04,5.3
1950,09/04,6.4
1950,10/04,7.1
1950,11/04,7.9
1950,12/04,8.6
1950,13/04,9.1
1950,14/04,9.1
1950,15/04,9.1
1950,16/04,9.3
1950,17/04,10.3
1950,18/04,10.9
1950,19/04,13.4
1950,20/04,15.5
1950,21/04,18.6
1950,22/04,19.8
1950,23/04,20.5
1950,24/04,21.4
1950,25/04,21.4
1950,26/04,21.2
1950,27/04,21.3
1950,28/04,21.8
1950,29/04,21.2
1950,30/04,22.7
1950,01/05,23.3
1950,02/05,23.7
1950,03/05,24.1
1950,04/05,24.5
1950,05/05,24.9
1950,06/05,26.2
1950,07/05,27.1
1950,08/05,27.7
1950,09/05,28.3
1950,10/05,29
1950,11/05,29.4
1950,12/05,29.8
1950,13/05,30
1950,14/05,30.2
1950,15/05,30.1
1950,16/05,30.1
1950,17/05,30.2
1950,18/05,30.2
1950,19/05,30.3
1950,20/05,30.2
1950,21/05,30.2
1950,22/05,30
1950,23/05,29.8
1950,24/05,29.4
1950,25/05,28.9
1950,26/05,28.5
1950,27/05,27.9
1950,28/05,27.2
1950,29/05,26.5
1950,30/05,25.9
1950,31/05,25.3
1950,01/06,24.7
1950,02/06,24
1950,03/06,23.3
1950,04/06,22.7
1950,05/06,22
1950,06/06,21.2
1950,07/06,20.4
1950,08/06,19.6
1950,09/06,18.8
1950,10/06,18
1950,11/06,17.2
1950,12/06,16.5
1950,13/06,15.8
1950,14/06,15
1950,15/06,14.3
1950,16/06,13.6
1950,17/06,13
1950,18/06,12.3
1950,19/06,11.7
1950,20/06,11.2
1950,21/06,10.8
1950,22/06,10.3
1950,23/06,9.8
1950,24/06,9.3
1950,25/06,8.8
1950,26/06,8.5
1950,27/06,8.2
1950,28/06,8
1950,29/06,7.8
1950,30/06,8
1950,01/07,8.2
1950,02/07,8.6
1950,03/07,9
1950,04/07,9.2
1950,05/07,9.5
1950,06/07,9.6
1950,07/07,9.5
1950,08/07,9.2
1950,09/07,9
1950,10/07,8.5
1950,11/07,8.2
1950,12/07,7.8
1950,13/07,7.4
1950,14/07,7.2
1950,15/07,6.9
1950,16/07,6.7
1950,17/07,6.6
1950,18/07,6.6
1950,19/07,7.1
1950,20/07,7.6
